date,price,cdi_rate
2010-07-28,10.63,0.0004009577988386
2010-07-29,10.63,0.0004009577988386
2010-07-30,10.63,0.0004009577988386
2010-08-02,10.65,0.0004016754138976
2010-08-03,10.64,0.000401316622519
2010-08-04,10.64,0.000401316622519
2010-08-05,10.64,0.000401316622519
2010-08-06,10.64,0.000401316622519
2010-08-09,10.64,0.000401316622519
2010-08-10,10.64,0.000401316622519
2010-08-11,10.64,0.000401316622519
2010-08-12,10.64,0.000401316622519
2010-08-13,10.64,0.000401316622519
2010-08-16,10.64,0.000401316622519
2010-08-17,10.64,0.000401316622519
2010-08-18,10.63,0.0004009577988386
2010-08-19,10.63,0.0004009577988386
2010-08-20,10.63,0.0004009577988386
2010-08-23,10.63,0.0004009577988386
2010-08-24,10.63,0.0004009577988386
2010-08-25,10.64,0.000401316622519
2010-08-26,10.63,0.0004009577988386
2010-08-27,10.64,0.000401316622519
2010-08-30,10.61,0.0004002400545506
2010-08-31,10.63,0.0004009577988386
2010-09-01,10.63,0.0004009577988386
2010-09-02,10.63,0.0004009577988386
2010-09-03,10.62,0.0004005989428513
2010-09-06,10.61,0.0004002400545506
2010-09-08,10.62,0.0004005989428513
2010-09-09,10.64,0.000401316622519
2010-09-10,10.63,0.0004009577988386
2010-09-13,10.62,0.0004005989428513
2010-09-14,10.62,0.0004005989428513
2010-09-15,10.58,0.0003991631957116
2010-09-16,10.6,0.000399881133931
2010-09-17,10.62,0.0004005989428513
2010-09-20,10.62,0.0004005989428513
2010-09-21,10.62,0.0004005989428513
2010-09-22,10.62,0.0004005989428513
2010-09-23,10.63,0.0004009577988386
2010-09-24,10.63,0.0004009577988386
2010-09-27,10.63,0.0004009577988386
2010-09-28,10.62,0.0004005989428513
2010-09-29,10.6,0.000399881133931
2010-09-30,10.61,0.0004002400545506
2010-10-01,10.64,0.000401316622519
2010-10-04,10.64,0.000401316622519
2010-10-05,10.64,0.000401316622519
2010-10-06,10.64,0.000401316622519
2010-10-07,10.64,0.000401316622519
2010-10-08,10.64,0.000401316622519
2010-10-11,10.64,0.000401316622519
2010-10-13,10.64,0.000401316622519
2010-10-14,10.63,0.0004009577988386
2010-10-15,10.64,0.000401316622519
